ID,Job,Operation,Machine,StartTime,EndTime,IsCritical
1,1,1,0,119,148,1
2,1,2,1,445,523,0
3,1,3,2,523,532,0
4,1,4,3,532,568,0
5,1,5,4,568,617,0
6,1,6,5,617,628,0
7,1,7,6,645,707,0
8,1,8,7,721,777,1
9,1,9,8,792,836,0
10,1,10,9,887,908,0
11,2,1,0,76,119,1
12,2,2,2,224,314,0
13,2,3,4,355,430,1
14,2,4,9,474,485,0
15,2,5,3,568,637,0
16,2,6,1,637,665,0
17,2,7,6,707,753,0
18,2,8,5,753,799,0
19,2,9,7,813,885,1
20,2,10,8,885,915,0
21,3,1,1,308,399,0
22,3,2,0,408,493,0
23,3,3,3,493,532,0
24,3,4,2,532,606,0
25,3,5,8,609,699,1
26,3,6,5,699,709,1
27,3,7,7,709,721,1
28,3,8,6,753,842,0
29,3,9,9,842,887,0
30,3,10,4,887,920,0
31,4,1,1,0,81,0
32,4,2,2,84,179,0
33,4,3,0,185,256,1
34,4,4,4,256,355,1
35,4,5,6,355,364,0
36,4,6,8,364,416,0
37,4,7,7,416,501,0
38,4,8,3,637,735,0
39,4,9,9,766,788,0
40,4,10,5,799,842,0
41,5,1,2,179,193,0
42,5,2,0,256,262,0
43,5,3,1,286,308,0
44,5,4,5,308,369,0
45,5,5,3,370,396,0
46,5,6,4,430,499,1
47,5,7,8,499,520,1
48,5,8,7,530,579,0
49,5,9,9,593,665,0
50,5,10,6,842,895,0
51,6,1,2,0,84,0
52,6,2,1,84,86,0
53,6,3,5,86,138,0
54,6,4,3,138,233,0
55,6,5,8,233,281,0
56,6,6,9,281,353,0
57,6,7,0,361,408,0
58,6,8,6,408,473,0
59,6,9,4,499,505,0
60,6,10,7,505,530,0
61,7,1,1,86,132,0
62,7,2,0,148,185,1
63,7,3,3,233,294,0
64,7,4,2,314,327,0
65,7,5,6,364,396,0
66,7,6,5,421,442,0
67,7,7,9,442,474,0
68,7,8,8,520,609,1
69,7,9,7,668,698,0
70,7,10,4,698,753,0
71,8,1,2,193,224,0
72,8,2,0,275,361,0
73,8,3,1,399,445,0
74,8,4,5,445,519,0
75,8,5,4,519,551,0
76,8,6,6,557,645,0
77,8,7,8,699,718,0
78,8,8,9,718,766,0
79,8,9,7,777,813,1
80,8,10,3,813,892,0
81,9,1,0,0,76,1
82,9,2,1,217,286,0
83,9,3,3,294,370,0
84,9,4,5,370,421,0
85,9,5,2,421,506,0
86,9,6,9,506,517,0
87,9,7,6,517,557,0
88,9,8,7,579,668,0
89,9,9,4,668,694,0
90,9,10,8,718,792,0
91,10,1,1,132,217,0
92,10,2,0,262,275,0
93,10,3,2,327,388,0
94,10,4,6,396,403,0
95,10,5,8,416,480,0
96,10,6,9,517,593,0
97,10,7,5,628,675,0
98,10,8,3,735,787,0
99,10,9,4,787,877,0
100,10,10,7,885,930,1
